0.626,0.452,0.835,125.293,1924
0.531,0.17,0.805,165.165,1925
0.636,0.468,0.922,109.831,1926
0.597,0.194,0.625,73.699,1927
0.728,0.249,0.874,146.227,1928
0.692,0.139,0.501,87.804,1928
0.809,0.485,0.874,115.533,1928
0.621,0.464,0.927,199.693,1928
0.631,0.328,0.629,129.948,1930
0.633,0.132,0.25,104.466,1930
0.491,0.489,0.782,185.932,1932
0.58,0.237,0.438,161.662,1932
0.614,0.28,0.964,197.581,1932
0.511,0.413,0.429,96.055,1932
0.779,0.247,0.732,135.87,1932
0.197,0.127,0.0463,87.097,1932
0.638,0.637,0.891,109.433,1934
0.698,0.578,0.807,94.772,1934
0.59,0.253,0.613,104.993,1934
0.52,0.162,0.784,165.541,1934
0.607,0.0628,0.364,120.253,1934
0.518,0.319,0.33,139.697,1934
0.711,0.25,0.704,116.423,1934
0.63,0.225,0.662,146.572,1934
0.546,0.402,0.965,173.455,1934
0.689,0.156,0.725,144.133,1934
0.78,0.205,0.58,84.562,1934
0.558,0.37,0.795,161.009,1934
0.626,0.0802,0.383,125.848,1934
0.612,0.3,0.96,197.791,1934
0.748,0.526,0.858,109.655,1935
0.568,0.125,0.398,162.888,1936
0.788,0.213,0.752,135.7,1936
0.578,0.398,0.853,119.448,1936
0.211,0.0653,0.0486,133.594,1936
0.475,0.29,0.317,132.75,1936
0.469,0.609,0.568,114.082,1936
0.525,0.464,0.85,143.669,1936
0.779,0.339,0.84,95.936,1936
0.623,0.293,0.879,134.142,1936
0.427,0.228,0.37,93.662,1936
0.63,0.198,0.322,131.004,1936
0.393,0.155,0.158,83.689,1936
0.478,0.203,0.681,112.964,1937
0.495,0.238,0.83,149.588,1937
0.697,0.185,0.592,140.136,1937
0.729,0.213,0.864,143.782,1937
0.575,0.155,0.766,149.513,1937
0.611,0.419,0.85,103.924,1937
0.643,0.254,0.713,135.471,1937
0.663,0.235,0.723,144.4,1937
0.587,0.18,0.64,118.688,1937
0.633,0.221,0.571,75.324,1937
0.414,0.111,0.472,192.672,1937
0.639,0.25,0.669,144.465,1937
0.682,0.593,0.768,141.12,1937
0.72,0.63,0.775,139.404,1937
0.403,0.448,0.76,202.27,1937
0.602,0.146,0.419,110.974,1937
0.603,0.196,0.643,142.786,1937
0.607,0.264,0.648,123.252,1937
0.585,0.233,0.513,106.05,1937
0.628,0.383,0.919,203.139,1937
0.72,0.173,0.686,94.748,1937
0.511,0.324,0.855,179.699,1937
0.559,0.411,0.747,145.989,1937
0.698,0.246,0.73,156.189,1937
0.63,0.445,0.838,124.99,1937
0.648,0.229,0.779,77.625,1937
