artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
Air,607202,0.436,0.76,0.504,75.012,-7.906,0,1,0.362,0.955,0.13,0.0374,0,219760,55,2004,1/26/2004,Cherry Blossom ****
Air,607202,0.641,0.514,0.357,109.841,-10.925,1,5,0.216,0.0111,0.0883,0.028,0,241533,33,1998,1/14/1998,You Make It Easy
Air,607202,0.504,0.513,0.309,129.873,-9.648,0,2,0.557,0.892,0.206,0.0309,0,190867,32,1998,1/14/1998,Le Voyage de Pénélope
Air,607202,0.449,0.675,0.277,116.759,-7.298,0,5,0.224,0.141,0.0779,0.035,0,154293,31,1998,1/14/1998,Remember
Air,607202,0.468,0.332,0.141,129.807,-13.193,1,9,0.587,0.958,0.689,0.0268,0,340600,31,1998,1/14/1998,New Star in the Sky
Air,607202,0.595,0.557,0.396,179.798,-11.903,0,2,0.351,0.81,0.0468,0.0912,0,359600,43,1999,8/24/1999,Modular Mix
Air,607202,0.463,0.188,0.0504,130.061,-14.995,0,1,0.944,0.973,0.234,0.0296,0,161500,44,2000,2/25/2000,Highschool Lover
Air,607202,0.505,0.755,0.532,157.993,-7.568,1,8,0.00076,0.0725,0.348,0.0315,0,223373,47,2004,1/26/2004,Surfing on a Rocket
Air,607202,0.516,0.737,0.547,79.852,-8.189,0,6,0.436,0.678,0.392,0.0362,0,426614,50,1998,1/14/1998,La femme d'argent
Air,607202,0.435,0.651,0.206,111.896,-6.152,1,0,0.00111,0.609,0.111,0.0288,0,298467,47,1998,1/14/1998,**** Boy
Air,607202,0.327,0.426,0.169,93.949,-11.576,0,7,0.878,0.000997,0.18,0.027,0,268307,46,1998,1/14/1998,All I Need (feat. Beth Hirsch)
Air,607202,0.33,0.423,0.117,143.086,-10.504,0,7,0.265,0.731,0.347,0.0279,0,211500,60,2000,2/25/2000,Playground Love
Air,607202,0.525,0.366,0.0785,179.956,-16.488,1,0,0.958,0.751,0.137,0.0718,0,291000,57,2004,1/26/2004,Alone in Kyoto
Air,607202,0.516,0.739,0.256,109.837,-8.471,1,2,0.285,0.636,0.111,0.0292,0,226293,40,1998,1/14/1998,Kelly Watch the Stars
Air,607202,0.128,0.445,0.165,65.514,-11.99,1,8,0.726,0.503,0.0888,0.0368,0,219040,39,1998,1/14/1998,Ce matin-là - From L'uomo in più
Air,607202,0.565,0.547,0.298,132.937,-11.107,0,11,0.0703,0.861,0.114,0.0302,0,256707,38,1998,1/14/1998,Talisman
Air,607202,0.608,0.514,0.313,139.647,-4.782,1,8,0.23,0.226,0.052,0.0451,0,337533,53,2001,5/28/2001,The ********
B.J. Thomas,57840,0.578,0.434,0.75,106.358,-10.865,1,5,0.802,0.00103,0.277,0.0468,0,178147,55,2009,1/1/2009,Raindrops Keep Fallin' on My Head - Rerecorded
B.J. Thomas,57840,0.578,0.392,0.62,108.03,-15.551,1,2,0.138,0,0.231,0.0298,0,206400,23,1984,1984,Whatever Happened to Old Fashioned Love
B.J. Thomas,57840,0.637,0.528,0.702,124.806,-11.287,1,4,0.744,0,0.114,0.0328,0,206067,43,1975,1/1/1975,(Hey Won't You Play) Another ******** Done ******** Wrong Song
B.J. Thomas,57840,0.347,0.476,0.54,129.654,-10.121,1,9,0.401,0,0.124,0.0312,0,166520,52,2009,1/1/2009,Hooked on a Feeling - Rerecorded
B.J. Thomas,57840,0.519,0.446,0.654,104.962,-9.287,1,5,0.813,0.000124,0.11,0.0388,0,184493,57,2005,2005,Raindrops Keep Fallin' On My Head
Big Star,51992,0.578,0.468,0.659,122.762,-12.46,1,7,0.276,0,0.142,0.029,0,140507,26,1972,1972,The India Song
Big Star,51992,0.223,0.606,0.386,86.163,-8.002,1,2,0.0212,8.70E-05,0.248,0.03,0,186867,26,1972,1972,My Life Is Right
